Identifier,Title,Description,Originator,Date_Issued,Topic,West,East,North,South,Format,links,keywords
851FF064-83B2-4127-8A98-FBD1E8882DC2,"Addresses Adams County, WI 2012","This data layer represents addresses for Adams County, Wisconsin in 2012. It is a feature class within the geodatabase Adams_Addresss_2012.gdb.",Adams County Register of Deeds/Land Records,"2012-01-01


publication",location,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_Addresses_2012.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
7966CCA4-DCB1-4269-9AB5-B562D6497007,"Addresses Adams County, WI 2014","This data layer represents addresses for Adams County, Wisconsin in 2014. It is a feature class within the geodatabase Adams_Addresss_2014.gdb",Adams County Register of Deeds/Land Records,"2018-09-10


publication",location,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_Addresses_2014.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
3002A5A0-1931-4A3E-860B-2211DF0BE9D4,"Addresses Adams County, WI 2015","This data layer represents addresses for Adams County, Wisconsin in 2015.",Adams County Register of Deeds/Land Records,"2018-09-10


publication",location,-90.015029,-89.597364,44.248796,43.641584,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/Adams_Addresses_2015.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
9BC78EE1-0A70-4593-8D56-FD2C328ACC9A,"Addresses Adams County, WI 2016","This data layer represents addresses for Adams County, Wisconsin in 2016. It is a feature class within the geodatabase Adams_Addresss_2016.gdb.",Adams County Register of Deeds/Land Records,"2018-09-12


publication",location,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_Addresses_2016.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
5A31CEF1-C80F-45D9-AFF4-381BA503F69B,"Hydro (Polygon and Line) Adams County, WI 2015","This data layer represents hydrography for Adams County, Wisconsin in 2015. It is a feature class within the geodatabase, Adams_Hydro_2015.gdb.",Adams County Register of Deeds/Land Records,"2018-09-17


publication",inlandWaters,-90.028905,-89.594542,44.249555,43.640507,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/Adams_Hydro_2015.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Hydrography</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
375BF2F9-3693-49F5-9865-BB359937D29B,"Hydro (Polygon and Line) Adams County, WI 2016","This data layer represents hydrography for Adams County, Wisconsin in 2016. It is a feature class within the geodatabase, Adams_Hydro_2016.gdb.",Adams County Register of Deeds/Land Records,"2015-09-15


publication",inlandWaters,-90.028905,-89.594542,44.249555,43.640507,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/Adams_Hydro_2016.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Hydrography</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
967F2E41-C1FE-4CBA-AF0D-D1375978BF79,"Land Use Adams County, WI 2010","This data layer represents land use for Adams County, Wisconsin in 2010. It is a feature class within the geodatabase, Adams_LandUse_2010.gdb.",North Central Wisconsin Regional Planning Commission,"2018-09-17


publication",planningCadastre,-90.028905,-89.594542,44.249555,43.640507,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_LandUse_2010.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>planningCadastre</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Land use</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
86DD9E2C-FCFC-4570-9859-47D82873BC41,"Municipalities Adams County, WI 2012","This data layer represents municipalities for Adams County, Wisconsin in 2012. It is a feature class within the geodatabase, Adams_Municipalities_2012.gdb.",Adams County Register of Deeds/Land Records,"2018-09-17


publication",boundaries,-90.026451,-89.594792,44.249516,43.640494,"File Geodatabase Feature Class


10.5","[u'https://gisdata.wisc.edu/public/Adams_Municipalities_2012.zip', u'https://gisdata.wisc.edu/public/Adams_Municipalities_2012.zip']","[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>boundaries</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Civil divisions</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
8307EF79-FB6E-49BF-AB9B-95A67A3C0AD3,"Municipalities Adams County, WI 2014","This data layer represents municipalities for Adams County, Wisconsin in 2014. It is a feature class within the geodatabase, Adams_Municipalities_2014.gdb.",Adams County Register of Deeds/Land Records,"2018-09-19


publication",boundaries,-90.028905,-89.594542,44.249555,43.640507,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_Municipalities_2014.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and Towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
433D4B3F-6C50-464F-A113-2BEDCAD9DBF6,"Municipalities Adams County, WI 2015","This data layer represents municipalities for Adams County, Wisconsin in 2015.",Adams County Register of Deeds,"2018-09-19


publication",boundaries,-90.026451,-89.594792,44.249516,43.640494,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/Adams_Municipalities_2015.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>boundaries</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Civil divisions</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
