Identifier,Title,Description,Originator,Date_Issued,Topic,West,East,North,South,Format,links,keywords
EDD03888-252B-45B5-84E7-12EF61EDDD46,"Municipalities Eau Claire County, WI 2014","This data layer represents municipalities for Eau Claire County, Wisconsin in 2014. It is a feature class within the geodatabase, EauClaire_Municipalities_2014.gdb.",Eau Claire County Land Information Division,"2014-01-01


publication",boundaries,-91.651985,-90.920317,44.858136,44.595247,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/EauClaire_Municipalities_2014.zip'],"[<keyword>\n<gco:CharacterString>Eau Claire County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and Towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
8B401F86-96C2-45B6-9200-E22DA6175A9F,"Zoning Eau Claire County, WI 2011","This data layer represents zoning for Eau Claire County, Wisconsin in 2011. It is a feature class within the geodatabase, EauClaire_Zoning_2011.gdb.",Eau Claire County GIS,"2011-01-01


publication",planningCadastre,-91.651985,-90.920317,44.858135,44.595247,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/EauClaire_Zoning_2011.zip'],"[<keyword>\n<gco:CharacterString>Eau Claire County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning \u2013 Maps, City Planning, County Ordinances</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
34145F27-744B-48D2-B7EB-57700FADCD4A,"Zoning Eau Claire County, WI 2014","This data layer represents zoning for Eau Claire County, Wisconsin in 2014. It is a feature class within the geodatabase, EauClaire_Zoning_2014.gdb.",Eau Claire County GIS,"2014-01-01


publication",planningCadastre,-91.651985,-90.920317,44.858135,44.595247,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/EauClaire_Zoning_2014.zip'],"[<keyword>\n<gco:CharacterString>Eau Claire County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning \u2013 Maps, City Planning, County Ordinances</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
8DA36611-AC56-404A-AD9F-5ADCCEB11C98,"Zoning Eau Claire County, WI 2015","This data layer represents zoning for Eau Claire County, Wisconsin in 2015. It is a feature class within the geodatabase, EauClaire_Zoning_2015.gdb.",Eau Claire Couty GIS,"2015-01-01


publication",planningCadastre,-91.651985,-90.920317,44.858135,44.595247,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/EauClaire_Zoning_2015.zip'],"[<keyword>\n<gco:CharacterString>Eau Claire County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning \u2013 Maps, City Planning, County Ordinances</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
B0E7DA0F-488F-41F0-ADA9-A75CF68259E7,"Zoning Eau Claire County, WI 2016","This data layer represents Zoning for Eau Claire County, Wisconsin in 2016. It is a feature dataset within the geodatabase EauClaire_Zoning_2016.gdb. This feature dataset contains: FARMLAND and GENERAL zoning data.",Eau Claire County GIS,"2016-01-01


publication",planningCadastre,-91.657742,-90.918125,44.864224,44.588316,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/EauClaire_Zoning_2016.zip'],"[<keyword>\n<gco:CharacterString>Eau Claire County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning\u2013 Maps, City Planning, County Ordinances</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
C4E7D6AC-D61D-4CE8-9E1B-9CDA3262ED60,"Addresses Green Lake County, WI 2009","This data layer represents Addresses for Green Lake County, Wisconsin in 2009.",Green Lake County Land Use Planning and Zoning Department,"2009-01-01


publication",location,-89.251736,-88.764081,44.069442,43.631029,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/GreenLake_Addresses_2009.zip'],"[<keyword>\n<gco:CharacterString>Green Lake County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
5C869576-7447-4864-AE7D-0704FFEEEFB6,"Addresses Green Lake County, WI 2012","This data layer represents addresses for Green Lake County, Wisconsin in 2012. Points are located at the access (center of driveway at edge of highway pavement), not on the structures. GLA plaques around Big Green Lake are numbers for the Green Lake Association.",Green Lake County Land Use Planning and Zoning Department,"2012-01-01


publication",location,-89.26236,-88.764081,44.069442,43.631029,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/GreenLake_Addresses_2012.zip'],"[<keyword>\n<gco:CharacterString>Green Lake County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
6B518FA9-9569-4BE7-B3CB-E38857861D03,"Addresses Green Lake County, WI 2014","This data layer represents addresses for Green Lake County, Wisconsin in 2014. It is a feature class within the geodatabase, GreenLake_Addresses_2014.gdb.",Green Lake County Land Use Planning and Zoning Department,"2014-01-01


publication",location,-89.39517,-88.764081,44.069442,43.536578,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/GreenLake_Addresses_2014.zip'],"[<keyword>\n<gco:CharacterString>Green Lake County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
75E8437B-5784-4870-8F4E-A9BA793AD513,"Addresses Green Lake County, WI 2015","This data layer represents addresses for Green Lake County, Wisconsin in 2015.",Green Lake County Land Use Planning and Zoning Department,"2015-01-01


publication",location,-89.39517,-88.764081,44.069442,43.536578,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/GreenLake_Addresses_2015.zip'],"[<keyword>\n<gco:CharacterString>Green Lake County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
A25E4395-4CFD-4214-A86B-5A96DBF4B7AC,"Municipalities Green Lake County, WI 2009","This data layer represents municipalities for Green Lake County, Wisconsin in 2009.",Green Lake County Land Use Planning and Zoning Department,"2009-01-01


publication",boundaries,-89.24704,-88.76403,44.06958,43.630885,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/GreenLake_Municipalities_2009.zip'],"[<keyword>\n<gco:CharacterString>Green Lake County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and Towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
