Identifier,Title,Description,Originator,Date_Issued,Topic,West,East,North,South,Format,links,keywords
25CB5387-666C-4831-A6BF-2B4666C3882A,"Addresses Adams County, WI 2019","This data layer represents addresses for Adams County, Wisconsin in 2019.",Adams County Register of Deeds,"2019-03-25


publication",location,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_Addresses_2019.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Street Addresses</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
D8FE23F4-A75F-4108-B66E-FB7E6053F173,"PLSS Adams County, WI 2019","This data layer represents public land survey system (PLSS) corners for Adams County, Wisconsin in 2019. [Description and X,Y location data for monumented Adams County PLSS Section Corners.]",Adams County Register of Deeds. [Adams County GIS.],"2019-03-25


publication",planningCadastre,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Adams_PLSS_2019.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Surveying - Public Lands</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>PLSS: Public Land Survey System</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
2820719C-F3BB-4FAF-BC3A-6CEE8E74502F,"Roads and ROW Adams County, WI 2019","This data group represents roads and Right Of Ways (ROW) for Adams County, Wisconsin in 2019 and includes the layers ""Adams_Roads_2019"" and ""Adams_ROW_2019"". [Roads: Adams County Streets - Attribute table is formatted for use by the Spillman emergency dispatch system and the ESRI Alphanumeric geocoder. Metadata is minimal, only the attribute descriptions have been recorded. TG 20090910. ROW: Adams County ROW polygons.]",Adams County Register of Deeds. [Adams County GIS.],"2019-03-25


publication",transportation,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/Adams_Roads_ROW_2019.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Line</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Roads, Streets, Transportation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>ROW: Right Of Way</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
C7419077-7061-4D12-9C54-0E2BAA32691E,"Zoning Adams County, WI 2019","This data group represents zoning for Adams County, Wisconsin in 2019 and includes the layers ""Adams_Airport_2019"", ""Adams_General_2019"", and ""Adams_Shoreland_2019"".",Adams County Register of Deeds,"2019-03-25


publication",planningCadastre,-90.015029,-89.597364,44.248796,43.641584,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/Adams_Zoning_2019.zip'],"[<keyword>\n<gco:CharacterString>Adams County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning - Maps, City Planning, County Ordinances</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
15A6154B-C414-44C5-B216-F32EA650D5ED,"Boat Access Sites Ashland County, WI 2019","This data represents boat access sites for Ashland County, Wisconsin in 2019.",Ashland County Register of Deeds,"2019-04-01


publication",society,-90.93051,-90.295381,46.872079,45.980124,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Ashland_BoatAccess_2019.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>society, recreation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
889809CD-DAFB-4463-9EC8-0851095F5367,"Municipalities Ashland County, WI 2018","This data layer represents municipalities for Ashland County, Wisconsin in 2018.",Ashland County Register of Deeds,"2019-02-19


publication",boundaries,-90.93051,-90.295381,46.872079,45.980124,"Shapefile


1.0",[u'https://gisdata.wisc.edu/public/Ashland_Municipalities_2018.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Cities and Towns</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
1E3E5693-CA67-4CAF-98F3-118D3066E4F4,"Parks Ashland County, WI 2019","This data represents parks for Ashland County, Wisconsin in 2019.",Ashland County Register of Deeds,"2019-04-01


publication",society,-90.93051,-90.295381,46.872079,45.980124,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Ashland_Parks_2019.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Recreation, open spaces, parks</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
C21634BB-CA3B-48FF-87E5-AEB5799677EF,"PLSS Ashland County, WI 2019","This data represents public land survey system (PLSS) corners for Ashland County, Wisconsin in 2019.",Ashland County Register of Deeds,"2019-04-01


publication",planningCadastre,-90.93051,-90.295381,46.872079,45.980124,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Ashland_PLSS_2019.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Point</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Surveying - public lands</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
BD57C970-D3B5-4EAD-9788-1A3807E09CD6,"Roads and ROW Ashland County, WI 2019","This data represents roads and Right Of Ways (ROW) for Ashland County, Wisconsin in 2019.",Ashland County Register of Deeds,"2019-04-01


publication",transportation,-90.93051,-90.295381,46.872079,45.980124,"File Geodatabase Feature Dataset


10.5",[u'https://gisdata.wisc.edu/public/Ashland_Roads_ROW_2019.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polygon</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>roads, transportation, streets</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
2EAFD847-B685-4122-BD00-5C7E34285653,"Trails (Snowmobile) Ashland County, WI 2019","This data represents snowmobile trails for Ashland County, Wisconsin in 2019.",Ashland County Register of Deeds,"2019-04-01


publication",society,-90.93051,-90.295381,46.872079,45.980124,"File Geodatabase Feature Class


10.5",[u'https://gisdata.wisc.edu/public/Ashland_Trails_2019.zip'],"[<keyword>\n<gco:CharacterString>Ashland County</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Wisconsin</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Line</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>society, recreation, trails</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
